n,doubling.ticks
1,3
101,481
201,965
301,1833
401,1933
501,2033
601,3669
701,3769
801,3869
901,3969
1001,4069
1101,7241
1201,7341
1301,7441
1401,7541
1501,7641
1601,7741
1701,7841
1801,7941
1901,8041
2001,8141
2101,14385
2201,14485
2301,14585
2401,14685
2501,14785
2601,14885
2701,14985
2801,15085
2901,15185
3001,15285
3101,15385
3201,15485
3301,15585
3401,15685
3501,15785
3601,15885
3701,15985
3801,16085
3901,16185
4001,16285
4101,28673
4201,28773
4301,28873
4401,28973
4501,29073
4601,29173
4701,29273
4801,29373
4901,29473
5001,29573
5101,29673
5201,29773
5301,29873
5401,29973
5501,30073
5601,30173
5701,30273
5801,30373
5901,30473
6001,30573
6101,30673
6201,30773
6301,30873
6401,30973
6501,31073
6601,31173
6701,31273
6801,31373
6901,31473
7001,31573
7101,31673
7201,31773
7301,31873
7401,31973
7501,32073
7601,32173
7701,32273
7801,32373
7901,32473
8001,32573
8101,32673
8201,57349
8301,57449
8401,57549
8501,57649
8601,57749
8701,57849
8801,57949
8901,58049
9001,58149
9101,58249
9201,58349
9301,58449
9401,58549
9501,58649
9601,58749
9701,58849
9801,58949
9901,59049
10001,59149
10101,59249
10201,59349
10301,59449
10401,59549
10501,59649
10601,59749
10701,59849
10801,59949
10901,60049
11001,60149
11101,60249
11201,60349
11301,60449
11401,60549
11501,60649
11601,60749
11701,60849
11801,60949
11901,61049
12001,61149
12101,61249
12201,61349
12301,61449
12401,61549
12501,61649
12601,61749
12701,61849
12801,61949
12901,62049
13001,62149
13101,62249
13201,62349
13301,62449
13401,62549
13501,62649
13601,62749
13701,62849
13801,62949
13901,63049
14001,63149
14101,63249
14201,63349
14301,63449
14401,63549
14501,63649
14601,63749
14701,63849
14801,63949
14901,64049
15001,64149
15101,64249
15201,64349
15301,64449
15401,64549
15501,64649
15601,64749
15701,64849
15801,64949
15901,65049
16001,65149
16101,65249
16201,65349
16301,65449
16401,114701
16501,114801
16601,114901
16701,115001
16801,115101
16901,115201
17001,115301
17101,115401
17201,115501
17301,115601
17401,115701
17501,115801
17601,115901
17701,116001
17801,116101
17901,116201
18001,116301
18101,116401
18201,116501
18301,116601
18401,116701
18501,116801
18601,116901
18701,117001
18801,117101
18901,117201
19001,117301
19101,117401
19201,117501
19301,117601
19401,117701
19501,117801
19601,117901
19701,118001
19801,118101
19901,118201
20001,118301
20101,118401
20201,118501
20301,118601
20401,118701
20501,118801
20601,118901
20701,119001
20801,119101
20901,119201
21001,119301
21101,119401
21201,119501
21301,119601
21401,119701
21501,119801
21601,119901
21701,120001
21801,120101
21901,120201
22001,120301
22101,120401
22201,120501
22301,120601
22401,120701
22501,120801
22601,120901
22701,121001
22801,121101
22901,121201
23001,121301
23101,121401
23201,121501
23301,121601
23401,121701
23501,121801
23601,121901
23701,122001
23801,122101
23901,122201
24001,122301
24101,122401
24201,122501
24301,122601
24401,122701
24501,122801
24601,122901
24701,123001
24801,123101
24901,123201
25001,123301
25101,123401
25201,123501
25301,123601
25401,123701
25501,123801
25601,123901
25701,124001
25801,124101
25901,124201
26001,124301
26101,124401
26201,124501
26301,124601
26401,124701
26501,124801
26601,124901
26701,125001
26801,125101
26901,125201
